epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.5808,0.90156,4.9075,1.14984,0.10246,0.46818,0.13196,0.11305,0.64988,3.44692,0.95702,0.0702222,0.00330864,0.00330864
2,34.2834,0.90059,3.71345,1.10086,0.25341,0.47059,0.24951,0.20765,0.68519,3.01338,0.96134,0.0401565,0.00657622,0.00657622
3,49.432,0.94426,3.19282,1.10082,0.20961,0.50759,0.28862,0.21258,0.93891,3.25412,1.13616,0.0100247,0.0097778,0.0097778
4,64.3765,0.97353,2.99432,1.11239,0.51941,0.4795,0.51661,0.40845,0.75634,2.37757,0.99387,0.009703,0.009703,0.009703
5,79.2012,0.97716,2.7402,1.11767,0.33313,0.44989,0.35268,0.27358,0.85794,3.76919,1.05396,0.009604,0.009604,0.009604
6,93.9426,0.93563,2.47446,1.08245,0.43117,0.5754,0.47839,0.37293,0.74763,2.67233,0.97809,0.009505,0.009505,0.009505
7,108.626,0.92553,2.30924,1.08188,0.46424,0.53001,0.49317,0.39306,0.77385,2.53436,0.9914,0.009406,0.009406,0.009406
8,123.308,0.90072,2.12353,1.06688,0.51092,0.58558,0.57293,0.45971,0.77071,2.41216,0.96787,0.009307,0.009307,0.009307
9,137.894,0.87907,2.02209,1.05599,0.73981,0.75424,0.8268,0.68357,0.68112,1.57717,0.92175,0.009208,0.009208,0.009208
10,152.657,0.86377,1.91097,1.05346,0.7709,0.77578,0.85222,0.7064,0.65993,1.45488,0.92628,0.009109,0.009109,0.009109
11,167.257,0.8485,1.78261,1.04802,0.90091,0.88357,0.9419,0.79303,0.64677,1.03749,0.91405,0.00901,0.00901,0.00901
12,181.916,0.83211,1.64398,1.03669,0.78025,0.51238,0.65422,0.52677,0.858,2.32834,1.09753,0.008911,0.008911,0.008911
13,196.865,0.84675,1.62288,1.05259,0.86794,0.82807,0.92931,0.78742,0.6592,1.2455,0.91306,0.008812,0.008812,0.008812
14,211.829,0.83307,1.54889,1.03727,0.92146,0.90251,0.95778,0.80905,0.63598,1.0011,0.89855,0.008713,0.008713,0.008713
15,227.171,0.81017,1.48253,1.03064,0.88664,0.88741,0.94828,0.81179,0.62195,0.97069,0.90035,0.008614,0.008614,0.008614
16,242.088,0.79128,1.3975,1.02293,0.91514,0.86331,0.94211,0.80021,0.64663,1.03988,0.90756,0.008515,0.008515,0.008515
17,256.832,0.78664,1.37263,1.01256,0.94254,0.91895,0.97194,0.83186,0.59064,0.82981,0.88488,0.008416,0.008416,0.008416
18,272.409,0.78467,1.30388,1.01528,0.9036,0.86016,0.9184,0.78118,0.61824,1.07703,0.89006,0.008317,0.008317,0.008317
19,286.976,0.77858,1.26114,1.01762,0.9639,0.95264,0.9751,0.83181,0.59961,0.77229,0.88555,0.008218,0.008218,0.008218
20,301.695,0.7773,1.2516,1.02065,0.95022,0.95107,0.96138,0.82965,0.58221,0.80259,0.88116,0.008119,0.008119,0.008119
21,318.299,0.76265,1.21741,1.0034,0.95428,0.94829,0.97524,0.83583,0.60394,0.78319,0.87799,0.00802,0.00802,0.00802
22,333.534,0.76595,1.1799,1.00511,0.94467,0.95054,0.96562,0.83902,0.5674,0.81068,0.87095,0.007921,0.007921,0.007921
23,348.677,0.75418,1.14,1.00038,0.93877,0.94051,0.97003,0.83961,0.58235,0.76162,0.87903,0.007822,0.007822,0.007822
24,363.926,0.75124,1.09913,1.00339,0.9585,0.94395,0.96966,0.8338,0.58975,0.76283,0.88049,0.007723,0.007723,0.007723
25,378.807,0.74509,1.09495,1.00026,0.9708,0.95822,0.97365,0.84728,0.56662,0.71155,0.87291,0.007624,0.007624,0.007624
26,393.69,0.72952,1.06632,0.99747,0.94076,0.93028,0.97097,0.8389,0.56872,0.73853,0.8729,0.007525,0.007525,0.007525
27,408.459,0.72547,1.05449,0.99363,0.96422,0.96257,0.97351,0.84806,0.57278,0.64027,0.87083,0.007426,0.007426,0.007426
28,423.32,0.73016,1.01773,0.98866,0.96584,0.96503,0.97739,0.85389,0.54412,0.65587,0.86814,0.007327,0.007327,0.007327
29,438.163,0.72536,1.04261,0.99223,0.97594,0.973,0.9761,0.85019,0.56124,0.68028,0.86838,0.007228,0.007228,0.007228
30,453.083,0.72601,1.03574,0.99916,0.96613,0.96311,0.97364,0.84647,0.57294,0.67132,0.86883,0.007129,0.007129,0.007129
31,467.895,0.71053,0.96292,0.97928,0.95629,0.95667,0.9714,0.85257,0.56607,0.66725,0.86807,0.00703,0.00703,0.00703
32,482.742,0.70671,0.98227,0.99102,0.96658,0.96203,0.97707,0.85968,0.54843,0.61458,0.86707,0.006931,0.006931,0.006931
33,497.582,0.70237,0.95924,0.97822,0.97551,0.95729,0.98085,0.86402,0.52498,0.61911,0.85235,0.006832,0.006832,0.006832
34,512.247,0.70022,0.9537,0.98443,0.97685,0.97646,0.97862,0.86127,0.54773,0.60985,0.85595,0.006733,0.006733,0.006733
35,527.211,0.69674,0.94164,0.98276,0.96806,0.96841,0.97809,0.86387,0.54697,0.64861,0.86038,0.006634,0.006634,0.006634
36,541.929,0.69415,0.93577,0.97598,0.96017,0.95194,0.97173,0.85705,0.53754,0.66489,0.85634,0.006535,0.006535,0.006535
37,556.836,0.69061,0.90121,0.97421,0.97414,0.9723,0.97583,0.86518,0.52488,0.5903,0.85661,0.006436,0.006436,0.006436
38,571.63,0.67759,0.87204,0.97406,0.95866,0.95956,0.97136,0.84942,0.54589,0.66093,0.8622,0.006337,0.006337,0.006337
39,586.345,0.67193,0.88189,0.97332,0.97351,0.97793,0.98051,0.8584,0.55502,0.59272,0.86498,0.006238,0.006238,0.006238
40,601.093,0.66957,0.88547,0.9702,0.97678,0.96547,0.97984,0.86407,0.53313,0.60168,0.8564,0.006139,0.006139,0.006139
41,615.79,0.66648,0.858,0.9673,0.979,0.97602,0.97855,0.8585,0.55597,0.57301,0.85901,0.00604,0.00604,0.00604
42,630.343,0.6775,0.8402,0.96761,0.96673,0.95621,0.97836,0.8564,0.5614,0.61336,0.86132,0.005941,0.005941,0.005941
43,644.983,0.66434,0.83272,0.96322,0.97987,0.97586,0.97935,0.86925,0.52878,0.55746,0.85444,0.005842,0.005842,0.005842
44,659.615,0.66377,0.85626,0.9657,0.98423,0.977,0.98136,0.8649,0.5351,0.55315,0.85505,0.005743,0.005743,0.005743
45,674.335,0.65397,0.80942,0.96462,0.98284,0.97992,0.97758,0.86947,0.53028,0.56942,0.85639,0.005644,0.005644,0.005644
46,689.122,0.6647,0.82538,0.96555,0.9841,0.97322,0.97877,0.87573,0.51441,0.54789,0.84733,0.005545,0.005545,0.005545
47,703.838,0.6624,0.80581,0.96803,0.97529,0.95745,0.97503,0.86546,0.51361,0.59416,0.85059,0.005446,0.005446,0.005446
48,718.615,0.64859,0.80128,0.96363,0.97376,0.98253,0.98254,0.86519,0.53778,0.56992,0.85012,0.005347,0.005347,0.005347
49,733.379,0.64175,0.78022,0.95402,0.9811,0.98216,0.9801,0.87009,0.52911,0.54244,0.85152,0.005248,0.005248,0.005248
