epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
1;245.248;0.91346;431.802;119.756;0.2257;0.52659;0.31066;0.26316;0.57558;296.318;0.92466;0.070219;0.003309;0.003309
2;475.377;0.76402;254.021;106.669;0.51136;0.67497;0.6518;0.55702;0.59338;224.039;0.91563;0.0402002;0.00662355;0.00662355
3;690.565;0.81496;204.276;106.492;0.58915;0.60188;0.60483;0.4955;0.69452;211.361;0.98835;0.0101625;0.00991924;0.00991924
4;894.304;0.86933;198.927;109.572;0.70773;0.68146;0.7563;0.6023;0.71943;173.654;0.96636;0.00991514;0.00991514;0.00991514
5;109.669;0.86948;179.022;109.164;0.76471;0.7154;0.81838;0.66334;0.71112;147.268;0.96798;0.00988686;0.00988686;0.00988686
6;131.509;0.8554;17.148;108.907;0.80754;0.80579;0.88626;0.71954;0.69448;125.136;0.96932;0.00985857;0.00985857;0.00985857
7;153.731;0.83881;160.221;108.451;0.73653;0.66709;0.74757;0.5947;0.75805;171.953;100.835;0.00983029;0.00983029;0.00983029
8;175.41;0.83748;145.117;107.307;0.77738;0.78943;0.86161;0.71298;0.66062;139.208;0.93867;0.009802;0.009802;0.009802
9;196.997;0.81782;140.834;106.383;0.84798;0.78681;0.86625;0.71752;0.65013;12.204;0.93202;0.00977371;0.00977371;0.00977371
10;218.999;0.81535;137.346;107.273;0.91182;0.90018;0.94749;0.78884;0.65644;0.86019;0.94763;0.00974543;0.00974543;0.00974543
11;240.985;0.79738;132.205;105.551;0.91569;0.8126;0.91591;0.76717;0.63482;10.428;0.93074;0.00971714;0.00971714;0.00971714
12;262.37;0.78641;121.306;105.342;0.90818;0.9185;0.95436;0.80392;0.63125;0.8004;0.91316;0.00968886;0.00968886;0.00968886
13;283.935;0.79906;123.724;105.784;0.88221;0.81411;0.88672;0.7577;0.60951;111.573;0.91697;0.00966057;0.00966057;0.00966057
14;305.599;0.78578;118.158;105.502;0.85761;0.86752;0.93042;0.79149;0.6133;0.92414;0.92343;0.00963229;0.00963229;0.00963229
15;327.044;0.77692;113.668;106.637;0.90655;0.92704;0.96209;0.82387;0.60337;0.79372;0.91319;0.009604;0.009604;0.009604
16;348.449;0.76865;113.212;105.012;0.94757;0.93818;0.97329;0.83804;0.59092;0.70683;0.90397;0.00957571;0.00957571;0.00957571
17;369.914;0.75479;111.899;103.687;0.95546;0.95974;0.97639;0.84391;0.57195;0.6781;0.88459;0.00954743;0.00954743;0.00954743
18;391.319;0.75532;10.625;104.193;0.95796;0.94502;0.97622;0.84108;0.56594;0.67257;0.89447;0.00951914;0.00951914;0.00951914
19;413.014;0.74436;103.577;103.522;0.93179;0.94221;0.97191;0.83345;0.57438;0.689;0.90172;0.00949086;0.00949086;0.00949086
20;434.306;0.75331;103.901;104.125;0.948;0.93351;0.96972;0.84132;0.57343;0.6778;0.90115;0.00946257;0.00946257;0.00946257
21;455.434;0.72232;100.723;102.509;0.91884;0.93832;0.95894;0.83474;0.55179;0.72465;0.8852;0.00943429;0.00943429;0.00943429
22;477.976;0.72318;0.98978;102.832;0.92803;0.9266;0.95835;0.83156;0.57617;0.70915;0.892;0.009406;0.009406;0.009406
23;499.786;0.72265;0.99564;102.663;0.94983;0.94251;0.97344;0.84282;0.57436;0.64673;0.89078;0.00937771;0.00937771;0.00937771
24;521.523;0.72008;0.93346;101.962;0.93444;0.94197;0.96974;0.82176;0.59955;0.69723;0.89438;0.00934943;0.00934943;0.00934943
25;543.534;0.7297;0.96205;10.268;0.96988;0.95505;0.97118;0.8554;0.53965;0.60029;0.87424;0.00932114;0.00932114;0.00932114
