epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.3828,0.81628,2.59781,1.16562,0.8196,0.81415,0.882,0.78769,0.45834,0.95571,0.88244,0.0701181,0.00332021,0.00332021
2,88.2001,0.71341,1.30844,1.05478,0.81085,0.77216,0.84019,0.72265,0.54919,1.17768,0.93083,0.0400993,0.00663472,0.00663472
3,129.051,0.77922,1.33672,1.08778,0.81787,0.70908,0.8056,0.65525,0.74375,1.40576,1.06221,0.0100616,0.00993038,0.00993038
4,169.84,0.85974,1.46045,1.14033,0.85767,0.75636,0.84997,0.69151,0.69457,1.17215,1.01364,0.00991514,0.00991514,0.00991514
5,211.62,0.84292,1.35324,1.12354,0.85928,0.81089,0.87444,0.71191,0.67967,1.1354,1.00683,0.00988686,0.00988686,0.00988686
6,253.282,0.84354,1.32594,1.12813,0.87404,0.81029,0.89159,0.74047,0.62912,1.01459,0.97679,0.00985857,0.00985857,0.00985857
7,294.415,0.82554,1.24812,1.11964,0.89857,0.89027,0.92092,0.78299,0.60131,0.84977,0.95706,0.00983029,0.00983029,0.00983029
8,335.075,0.81537,1.21895,1.1111,0.9079,0.86588,0.91848,0.7596,0.66927,0.87242,1.00271,0.009802,0.009802,0.009802
9,375.469,0.79644,1.14886,1.10201,0.9437,0.88772,0.93871,0.79582,0.58092,0.78092,0.9476,0.00977371,0.00977371,0.00977371
10,415.557,0.76791,1.12045,1.0924,0.91162,0.85554,0.92863,0.78785,0.60975,0.86121,0.96698,0.00974543,0.00974543,0.00974543
11,455.836,0.7577,1.07225,1.08305,0.92686,0.86858,0.93675,0.80847,0.555,0.77529,0.92328,0.00971714,0.00971714,0.00971714
12,495.76,0.75113,1.03437,1.07785,0.92867,0.89524,0.94416,0.81443,0.56336,0.75684,0.93961,0.00968886,0.00968886,0.00968886
13,537.136,0.74704,1.04686,1.08048,0.92701,0.90209,0.95269,0.83124,0.52813,0.71393,0.91966,0.00966057,0.00966057,0.00966057
14,577.389,0.7333,1.00403,1.07489,0.95127,0.89384,0.95006,0.83547,0.52752,0.68329,0.92809,0.00963229,0.00963229,0.00963229
15,617.747,0.72192,0.98113,1.06277,0.9492,0.90893,0.95873,0.84136,0.52158,0.62756,0.90856,0.009604,0.009604,0.009604
16,658.164,0.71352,0.95112,1.05457,0.94086,0.92122,0.95354,0.83815,0.51079,0.66593,0.90681,0.00957571,0.00957571,0.00957571
17,698.243,0.7048,0.93127,1.05462,0.94169,0.89399,0.95263,0.84097,0.51417,0.65559,0.92253,0.00954743,0.00954743,0.00954743
18,738.659,0.70043,0.92105,1.05642,0.95683,0.91111,0.96529,0.85519,0.49483,0.59764,0.90215,0.00951914,0.00951914,0.00951914
19,778.869,0.6943,0.90985,1.05548,0.95648,0.91621,0.96829,0.86092,0.49209,0.56153,0.90329,0.00949086,0.00949086,0.00949086
20,819.115,0.68874,0.89937,1.05207,0.95801,0.93345,0.96459,0.85896,0.48587,0.59251,0.90349,0.00946257,0.00946257,0.00946257
21,859.419,0.69256,0.88,1.04702,0.93719,0.90191,0.94788,0.84713,0.48324,0.66633,0.89444,0.00943429,0.00943429,0.00943429
22,899.521,0.67421,0.85768,1.04245,0.94377,0.91104,0.95838,0.85075,0.50122,0.6142,0.91014,0.009406,0.009406,0.009406
23,939.61,0.67173,0.8633,1.03451,0.94285,0.90121,0.95766,0.84953,0.49671,0.62631,0.90255,0.00937771,0.00937771,0.00937771
24,980.414,0.66093,0.84438,1.03358,0.95845,0.91379,0.96382,0.8674,0.47701,0.58288,0.90041,0.00934943,0.00934943,0.00934943
25,1020.4,0.66319,0.82952,1.03521,0.95398,0.92268,0.96787,0.86211,0.49243,0.57066,0.90919,0.00932114,0.00932114,0.00932114
26,1060.52,0.6528,0.81289,1.03054,0.94494,0.94994,0.97292,0.8697,0.4651,0.5042,0.88916,0.00929286,0.00929286,0.00929286
27,1100.9,0.65603,0.81132,1.02744,0.96559,0.91764,0.97017,0.87123,0.46392,0.53345,0.88905,0.00926457,0.00926457,0.00926457
28,1140.89,0.65221,0.80856,1.03579,0.96119,0.94313,0.97146,0.87856,0.44689,0.5072,0.87982,0.00923629,0.00923629,0.00923629
29,1181.51,0.6485,0.79554,1.02536,0.95497,0.94664,0.97061,0.87258,0.4716,0.50471,0.88847,0.009208,0.009208,0.009208
30,1221.57,0.6479,0.7993,1.03091,0.97047,0.93483,0.97148,0.87256,0.45505,0.51394,0.87999,0.00917971,0.00917971,0.00917971
31,1261.51,0.64565,0.78034,1.02344,0.94674,0.94044,0.96611,0.86279,0.47424,0.53918,0.89683,0.00915143,0.00915143,0.00915143
32,1301.86,0.64056,0.76801,1.01885,0.96055,0.92498,0.96422,0.87456,0.4439,0.55811,0.87847,0.00912314,0.00912314,0.00912314
33,1342.36,0.62785,0.75825,1.01825,0.9594,0.95661,0.97419,0.87778,0.44439,0.47878,0.88315,0.00909486,0.00909486,0.00909486
34,1382.38,0.63098,0.76073,1.01561,0.9631,0.94559,0.97127,0.87518,0.46688,0.49955,0.89446,0.00906657,0.00906657,0.00906657
35,1422.48,0.63138,0.76004,1.01959,0.967,0.9412,0.97125,0.87988,0.45388,0.49325,0.88474,0.00903829,0.00903829,0.00903829
36,1462.38,0.62631,0.74656,1.02261,0.96953,0.93997,0.96895,0.88592,0.4385,0.48623,0.88389,0.00901,0.00901,0.00901
37,1502.22,0.62052,0.75673,1.0181,0.95514,0.95072,0.97705,0.88787,0.44085,0.47561,0.87387,0.00898171,0.00898171,0.00898171
38,1542.06,0.61116,0.74384,1.01019,0.95126,0.94107,0.97178,0.87865,0.44103,0.49892,0.87227,0.00895343,0.00895343,0.00895343
39,1581.76,0.61502,0.7367,1.01225,0.96079,0.94945,0.97524,0.89608,0.42426,0.45884,0.86458,0.00892514,0.00892514,0.00892514
40,1621.99,0.61623,0.73219,1.01394,0.95709,0.94674,0.97725,0.89611,0.43836,0.47084,0.89507,0.00889686,0.00889686,0.00889686
41,1661.53,0.61833,0.73702,1.01925,0.96542,0.9511,0.97528,0.88289,0.4328,0.45322,0.88417,0.00886857,0.00886857,0.00886857
42,1701.5,0.60129,0.70373,1.00481,0.96956,0.94269,0.97562,0.89137,0.41513,0.44485,0.86401,0.00884029,0.00884029,0.00884029
43,1741.62,0.61222,0.71127,1.00859,0.96373,0.95419,0.97551,0.89328,0.42505,0.44884,0.86612,0.008812,0.008812,0.008812
44,1781.73,0.60833,0.71668,1.00396,0.95942,0.95109,0.97745,0.8924,0.4267,0.45665,0.87371,0.00878371,0.00878371,0.00878371
45,1821.36,0.59932,0.70161,0.99819,0.97113,0.95071,0.97576,0.88961,0.43894,0.44169,0.87218,0.00875543,0.00875543,0.00875543
46,1861.41,0.60952,0.70658,1.01101,0.97225,0.94685,0.9713,0.8836,0.44001,0.46781,0.87102,0.00872714,0.00872714,0.00872714
47,1901.33,0.60251,0.70406,1.00037,0.96381,0.95618,0.97722,0.89701,0.42293,0.4335,0.8688,0.00869886,0.00869886,0.00869886
48,1941.36,0.5895,0.68649,0.99823,0.95779,0.96457,0.97581,0.89995,0.40687,0.4378,0.86301,0.00867057,0.00867057,0.00867057
49,1981.33,0.5892,0.68339,1.00059,0.96792,0.9527,0.97636,0.89506,0.41517,0.43531,0.86737,0.00864229,0.00864229,0.00864229
50,2020.89,0.59191,0.69572,0.99855,0.965,0.95898,0.98019,0.90347,0.40151,0.40747,0.8561,0.008614,0.008614,0.008614
51,2061.82,0.59582,0.67891,0.99648,0.96167,0.95635,0.97853,0.89754,0.41051,0.41921,0.85985,0.00858571,0.00858571,0.00858571
52,2101.91,0.58833,0.66584,1.00211,0.96389,0.96288,0.9759,0.89702,0.41935,0.42258,0.87434,0.00855743,0.00855743,0.00855743
