epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
1;456.932;0.91041;417.356;119.945;0.28016;0.54892;0.36696;0.32069;0.55663;258.869;0.92051;0.0701829;0.00331301;0.00331301
2;902.469;0.77142;232.379;104.914;0.57883;0.63814;0.67469;0.57418;0.59732;177.979;0.90997;0.0401641;0.00662754;0.00662754
3;133.962;0.80644;184.776;104.992;0.69389;0.536;0.58916;0.48273;0.69561;253.601;0.96488;0.0101265;0.00992322;0.00992322
4;177.559;0.86025;188.082;109.085;0.74303;0.65154;0.72146;0.58994;0.74171;204.876;0.98993;0.00991514;0.00991514;0.00991514
5;221.546;0.85319;167.674;109.497;0.71455;0.65474;0.74794;0.61575;0.67455;172.539;0.95044;0.00988686;0.00988686;0.00988686
6;265.66;0.84308;160.934;10.889;0.72269;0.74426;0.81065;0.66488;0.6909;163.981;0.9545;0.00985857;0.00985857;0.00985857
7;309.53;0.83169;149.884;107.746;0.86837;0.866;0.92754;0.77939;0.63053;105.987;0.92311;0.00983029;0.00983029;0.00983029
8;353.016;0.80664;134.964;106.378;0.92498;0.90777;0.95355;0.80119;0.62958;0.86082;0.93096;0.009802;0.009802;0.009802
9;396.785;0.79755;127.969;106.447;0.83723;0.81799;0.87862;0.72391;0.67318;120.553;0.93344;0.00977371;0.00977371;0.00977371
10;440.358;0.79689;124.265;105.722;0.94595;0.90717;0.94454;0.81119;0.59549;0.77778;0.90407;0.00974543;0.00974543;0.00974543
11;483.987;0.78094;124.789;106.002;0.86655;0.83552;0.93463;0.79395;0.60845;111.973;0.91658;0.00971714;0.00971714;0.00971714
12;527.677;0.78644;117.875;106.248;0.9501;0.93482;0.96844;0.8256;0.59097;0.74913;0.90876;0.00968886;0.00968886;0.00968886
13;571.44;0.76805;114.204;104.468;0.9482;0.94352;0.9673;0.83161;0.60354;0.7281;0.90589;0.00966057;0.00966057;0.00966057
14;615.133;0.75442;109.036;104.799;0.93832;0.94252;0.97097;0.84231;0.55816;0.67813;0.88874;0.00963229;0.00963229;0.00963229
15;658.948;0.76213;108.159;105.184;0.93981;0.93595;0.97149;0.82569;0.60263;0.70034;0.90126;0.009604;0.009604;0.009604
16;702.768;0.76571;10.763;105.698;0.92693;0.93908;0.95749;0.82194;0.59007;0.7838;0.90443;0.00957571;0.00957571;0.00957571
17;746.428;0.74033;103.328;104.073;0.90158;0.89612;0.94574;0.8067;0.58796;0.89663;0.90109;0.00954743;0.00954743;0.00954743
18;790.242;0.74955;104.733;10.431;0.95166;0.94711;0.96815;0.83182;0.57771;0.70855;0.89632;0.00951914;0.00951914;0.00951914
19;833.98;0.73539;100.773;103.698;0.96375;0.96726;0.97172;0.84273;0.55835;0.65769;0.89972;0.00949086;0.00949086;0.00949086
20;877.641;0.72095;0.9363;103.448;0.95302;0.95716;0.97489;0.85331;0.54539;0.60986;0.8907;0.00946257;0.00946257;0.00946257
21;920.765;0.72032;0.96765;10.327;0.96093;0.96243;0.9731;0.85495;0.543;0.65091;0.88401;0.00943429;0.00943429;0.00943429
22;963.67;0.71381;0.95463;103.181;0.95614;0.96713;0.96804;0.84083;0.56237;0.61313;0.89325;0.009406;0.009406;0.009406
23;1006.69;0.70874;0.91975;101.834;0.97188;0.96781;0.97494;0.85752;0.55077;0.61648;0.88105;0.00937771;0.00937771;0.00937771
24;1049.79;0.70722;0.91986;102.564;0.96811;0.95054;0.97696;0.85994;0.52848;0.633;0.87002;0.00934943;0.00934943;0.00934943
25;1093.59;0.70364;0.89405;102.771;0.95226;0.95724;0.97071;0.84244;0.57294;0.65147;0.89124;0.00932114;0.00932114;0.00932114
26;1137.47;0.70441;0.88326;102.585;0.95685;0.93857;0.96828;0.85082;0.54923;0.66411;0.88765;0.00929286;0.00929286;0.00929286
27;1181.78;0.70231;0.86772;102.152;0.97653;0.97123;0.97651;0.85928;0.54002;0.57772;0.88341;0.00926457;0.00926457;0.00926457
28;1226.3;0.69401;0.88068;102.045;0.96563;0.97922;0.97844;0.85746;0.55386;0.58697;0.88686;0.00923629;0.00923629;0.00923629
29;1271.44;0.68138;0.8405;101.634;0.96469;0.96302;0.97943;0.86258;0.53274;0.61;0.87847;0.009208;0.009208;0.009208
30;1315.51;0.67694;0.86064;101.283;0.97657;0.96491;0.9766;0.85893;0.5418;0.58745;0.87965;0.00917971;0.00917971;0.00917971
31;1359.33;0.68391;0.84259;101.725;0.97394;0.96989;0.9785;0.86194;0.53592;0.55467;0.8773;0.00915143;0.00915143;0.00915143
32;1403.01;0.67863;0.83524;100.729;0.96596;0.96681;0.97969;0.8572;0.54918;0.56448;0.88371;0.00912314;0.00912314;0.00912314
33;1446.93;0.66487;0.80537;100.057;0.94542;0.97385;0.97095;0.85512;0.537;0.56572;0.87866;0.00909486;0.00909486;0.00909486
34;1490.92;0.66528;0.79624;100.579;0.97753;0.98057;0.97968;0.86528;0.52645;0.52003;0.87132;0.00906657;0.00906657;0.00906657
35;1535.99;0.66291;0.77097;100.556;0.96473;0.96582;0.98048;0.86555;0.5432;0.57637;0.88346;0.00903829;0.00903829;0.00903829
36;1579.97;0.65105;0.80828;100.177;0.97191;0.96719;0.97685;0.86638;0.53442;0.57341;0.87654;0.00901;0.00901;0.00901
37;1623.29;0.66505;0.79982;10.111;0.97995;0.97038;0.98214;0.87389;0.5116;0.51498;0.86698;0.00898171;0.00898171;0.00898171
38;1666.66;0.65549;0.77036;100.499;0.97819;0.97984;0.97993;0.86863;0.5283;0.54624;0.87186;0.00895343;0.00895343;0.00895343
39;1709.88;0.65262;0.78133;100.411;0.97229;0.97129;0.97808;0.86509;0.53661;0.56022;0.88735;0.00892514;0.00892514;0.00892514
40;1753.48;0.65661;0.7807;100.052;0.97601;0.97657;0.97881;0.86866;0.52124;0.55184;0.87003;0.00889686;0.00889686;0.00889686
41;1797.26;0.65295;0.76245;0.9998;0.97746;0.97367;0.97906;0.87171;0.5148;0.52479;0.86886;0.00886857;0.00886857;0.00886857
