epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.2715,1.36374,4.4168,1.51526,0.1759,0.0305,0.00319,0.00111,2.84451,21.5685,4.48583,0.070219,0.003309,0.003309
2,48.4055,1.34847,3.7904,1.5067,0.19885,0.28489,0.04892,0.02646,2.04325,5.6782,2.6967,0.0402002,0.00662355,0.00662355
3,70.017,1.292,3.58401,1.47562,0.08865,0.39231,0.07196,0.04266,1.60117,4.76377,2.1912,0.0101625,0.00991924,0.00991924
4,92.0016,1.21147,3.40334,1.4243,0.0796,0.11834,0.04154,0.02113,2.12349,5.57097,2.23311,0.00991514,0.00991514,0.00991514
5,114.448,1.14374,3.24084,1.37292,0.08586,0.4175,0.11024,0.07916,1.01401,3.47203,1.43526,0.00988686,0.00988686,0.00988686
6,137.062,1.08686,3.12773,1.33197,0.0966,0.37159,0.11799,0.07974,1.17773,3.48762,1.45849,0.00985857,0.00985857,0.00985857
7,159.219,1.05293,3.09469,1.30473,0.11311,0.5789,0.14498,0.10703,0.88631,3.24005,1.25021,0.00983029,0.00983029,0.00983029
8,180.864,1.02475,2.96156,1.2961,0.18191,0.51666,0.21124,0.16314,0.85436,2.81535,1.24765,0.009802,0.009802,0.009802
9,203.116,0.97672,2.87004,1.26354,0.17361,0.60931,0.24922,0.1942,0.81748,2.72351,1.20908,0.00977371,0.00977371,0.00977371
10,225.456,0.98673,2.83238,1.27769,0.20754,0.61797,0.27205,0.21118,0.78693,2.51547,1.22884,0.00974543,0.00974543,0.00974543
11,247.564,0.94462,2.71709,1.24119,0.20128,0.5552,0.29318,0.22296,0.7845,2.58375,1.19011,0.00971714,0.00971714,0.00971714
12,269.573,0.91894,2.58897,1.22236,0.26982,0.6245,0.37192,0.29587,0.7387,2.39976,1.11956,0.00968886,0.00968886,0.00968886
13,291.798,0.94963,2.56657,1.2488,0.19234,0.62541,0.28832,0.229,0.72321,2.70357,1.1493,0.00966057,0.00966057,0.00966057
14,314.151,0.91453,2.44003,1.21371,0.31746,0.73342,0.43006,0.34074,0.72676,2.23083,1.15792,0.00963229,0.00963229,0.00963229
15,336.468,0.89361,2.39942,1.20942,0.30725,0.67025,0.42889,0.33907,0.69499,2.3425,1.14153,0.009604,0.009604,0.009604
16,358.424,0.87605,2.28716,1.20777,0.33612,0.57935,0.45009,0.35649,0.72658,2.13996,1.1454,0.00957571,0.00957571,0.00957571
17,380.466,0.87895,2.25509,1.19937,0.39594,0.65073,0.54473,0.42998,0.72237,2.01169,1.1447,0.00954743,0.00954743,0.00954743
18,403.747,0.87546,2.17475,1.19782,0.42866,0.63712,0.56561,0.45929,0.71618,1.91307,1.18133,0.00951914,0.00951914,0.00951914
19,425.927,0.85425,2.08111,1.18514,0.4328,0.7375,0.60708,0.48471,0.72039,1.88664,1.16561,0.00949086,0.00949086,0.00949086
20,448.097,0.85327,2.00683,1.18455,0.58898,0.60884,0.63786,0.52506,0.67623,1.91251,1.10703,0.00946257,0.00946257,0.00946257
21,470.237,0.81606,1.94562,1.16502,0.57553,0.70301,0.69626,0.56294,0.67097,1.65015,1.13076,0.00943429,0.00943429,0.00943429
22,492.369,0.84673,1.96297,1.1879,0.57135,0.56361,0.63342,0.52499,0.69205,1.79094,1.12844,0.009406,0.009406,0.009406
23,514.453,0.81144,1.85348,1.16186,0.57306,0.65596,0.66424,0.54308,0.69117,1.70373,1.12765,0.00937771,0.00937771,0.00937771
24,536.808,0.84092,1.85425,1.17818,0.55631,0.76118,0.70104,0.57472,0.686,1.63108,1.15665,0.00934943,0.00934943,0.00934943
25,558.77,0.83469,1.8046,1.18114,0.61384,0.71327,0.72804,0.59982,0.67913,1.59144,1.14651,0.00932114,0.00932114,0.00932114
26,580.793,0.81966,1.77299,1.166,0.58909,0.698,0.68189,0.563,0.67678,1.77665,1.12806,0.00929286,0.00929286,0.00929286
27,602.396,0.81087,1.72621,1.16937,0.6541,0.8252,0.80164,0.67184,0.64395,1.31579,1.12998,0.00926457,0.00926457,0.00926457
28,624.69,0.81214,1.59374,1.16866,0.67589,0.82679,0.81405,0.68236,0.67413,1.31257,1.14939,0.00923629,0.00923629,0.00923629
29,646.621,0.7905,1.5815,1.1526,0.73399,0.71141,0.79803,0.65608,0.70634,1.38386,1.14523,0.009208,0.009208,0.009208
30,668.854,0.81381,1.55857,1.15772,0.77058,0.83441,0.87325,0.74149,0.63868,1.25193,1.11635,0.00917971,0.00917971,0.00917971
31,691.174,0.7871,1.48771,1.15208,0.75918,0.84218,0.88732,0.73627,0.6521,1.16625,1.13327,0.00915143,0.00915143,0.00915143
32,713.409,0.78112,1.47748,1.15039,0.71524,0.8101,0.82514,0.68831,0.65425,1.264,1.12356,0.00912314,0.00912314,0.00912314
33,735.223,0.76912,1.43595,1.1478,0.84552,0.82944,0.89657,0.75873,0.62407,1.06592,1.10313,0.00909486,0.00909486,0.00909486
34,756.988,0.79687,1.51784,1.16299,0.77685,0.85049,0.87424,0.72801,0.66154,1.11495,1.14757,0.00906657,0.00906657,0.00906657
35,778.806,0.79628,1.47983,1.16358,0.78743,0.83619,0.87667,0.73783,0.6312,1.13946,1.11058,0.00903829,0.00903829,0.00903829
36,800.7,0.77518,1.37347,1.14631,0.82345,0.80848,0.87996,0.73245,0.65707,1.15628,1.12912,0.00901,0.00901,0.00901
37,822.747,0.76972,1.33815,1.14074,0.88436,0.76582,0.90193,0.76154,0.61864,1.10864,1.10473,0.00898171,0.00898171,0.00898171
38,844.627,0.76933,1.3354,1.13814,0.82832,0.8314,0.88389,0.74345,0.63677,1.14916,1.10909,0.00895343,0.00895343,0.00895343
39,866.237,0.77105,1.33581,1.13806,0.93446,0.87029,0.94869,0.79613,0.6372,0.85304,1.13164,0.00892514,0.00892514,0.00892514
40,887.94,0.74945,1.28516,1.13848,0.81425,0.8778,0.9215,0.77147,0.64674,1.03117,1.14632,0.00889686,0.00889686,0.00889686
41,909.512,0.76013,1.28003,1.13681,0.9195,0.89569,0.96021,0.82343,0.60305,0.82838,1.11602,0.00886857,0.00886857,0.00886857
42,931.532,0.75727,1.25138,1.13149,0.84003,0.87518,0.94123,0.8012,0.61223,0.92589,1.11067,0.00884029,0.00884029,0.00884029
43,953.511,0.75313,1.26144,1.12671,0.94528,0.88204,0.9587,0.81181,0.62858,0.82311,1.10207,0.008812,0.008812,0.008812
