epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.5506,1.08798,3.47295,1.33472,0.5932,0.65566,0.69398,0.50013,0.92233,1.95366,1.13176,0.0700591,0.00332677,0.00332677
2,194.86,0.98628,1.90694,1.19414,0.82486,0.81195,0.89192,0.62995,0.97488,1.26608,1.25883,0.0400402,0.00664127,0.00664127
3,287.219,1.04152,1.80945,1.23774,0.77705,0.80471,0.8612,0.60177,1.01688,1.35672,1.21758,0.0100025,0.0099369,0.0099369
4,379.452,1.09936,1.87753,1.27705,0.82169,0.79121,0.87715,0.59297,1.10187,1.27342,1.25212,0.00991514,0.00991514,0.00991514
5,471.102,1.06281,1.6786,1.25635,0.8812,0.8551,0.92965,0.68727,0.93719,1.06312,1.15917,0.00988686,0.00988686,0.00988686
6,566.156,1.02372,1.52706,1.23048,0.92162,0.90925,0.96515,0.70716,0.93765,0.84463,1.16977,0.00985857,0.00985857,0.00985857
7,659.883,0.99529,1.43745,1.2158,0.94288,0.92058,0.97487,0.72943,0.88812,0.77982,1.14515,0.00983029,0.00983029,0.00983029
8,751.523,0.97038,1.36202,1.1982,0.95882,0.9544,0.98335,0.76978,0.81343,0.69909,1.06057,0.009802,0.009802,0.009802
9,843.733,0.95861,1.27856,1.19261,0.97618,0.96876,0.99048,0.78008,0.7969,0.6206,1.05728,0.00977371,0.00977371,0.00977371
10,935.384,0.93961,1.24433,1.18182,0.97029,0.97327,0.99073,0.77907,0.81667,0.6375,1.08239,0.00974543,0.00974543,0.00974543
11,1026.52,0.91972,1.18289,1.17321,0.97651,0.97631,0.99163,0.79179,0.78141,0.60624,1.05759,0.00971714,0.00971714,0.00971714
12,1120.26,0.91,1.14268,1.16417,0.97388,0.97969,0.99208,0.79257,0.77793,0.59953,1.05122,0.00968886,0.00968886,0.00968886
13,1212.46,0.89467,1.09378,1.1576,0.97583,0.9865,0.99117,0.7867,0.78267,0.58624,1.04942,0.00966057,0.00966057,0.00966057
14,1301.39,0.8841,1.08719,1.15345,0.98321,0.98547,0.99267,0.81305,0.73159,0.55264,1.01546,0.00963229,0.00963229,0.00963229
15,1390.4,0.86672,1.06054,1.14639,0.98139,0.98394,0.9937,0.8089,0.74914,0.54922,1.02348,0.009604,0.009604,0.009604
16,1479.51,0.86102,1.0369,1.14614,0.98505,0.98138,0.9934,0.80476,0.75904,0.55164,1.03936,0.00957571,0.00957571,0.00957571
17,1569.98,0.85277,1.01411,1.14112,0.98794,0.9865,0.99343,0.80572,0.74885,0.53344,1.03166,0.00954743,0.00954743,0.00954743
18,1658.62,0.84651,0.99128,1.13875,0.98293,0.98665,0.9928,0.79216,0.77414,0.53028,1.05631,0.00951914,0.00951914,0.00951914
19,1747.45,0.83346,0.98574,1.12432,0.98897,0.99216,0.99457,0.82331,0.7216,0.50618,1.01547,0.00949086,0.00949086,0.00949086
