epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8021,3.26181,6.9169,4.11087,0,0,0,0,2.75962,5.99733,3.93971,0.0702857,0.00330159,0.00330159
2,30.1584,3.22048,6.40997,3.82006,0.00449,0.03796,0.00175,0.00046,2.93724,8.42539,7.56101,0.0402669,0.00661615,0.00661615
3,44.7473,2.8941,5.80957,3.42516,0.00913,0.18834,0.00944,0.00261,2.65632,10.2937,3.66637,0.0102293,0.00991186,0.00991186
4,59.5754,2.44048,5.39645,2.98008,0.23745,0.23699,0.06671,0.02313,2.34218,10.2673,3.25487,0.00991514,0.00991514,0.00991514
5,73.9296,2.15822,5.05087,2.69818,0.18467,0.25129,0.10236,0.03693,2.12659,4.76249,2.89486,0.00988686,0.00988686,0.00988686
6,88.5053,1.96023,4.68685,2.48294,0.14433,0.24724,0.11884,0.05777,1.87066,4.37222,2.5775,0.00985857,0.00985857,0.00985857
7,102.563,1.77457,4.37733,2.33038,0.31433,0.20888,0.10926,0.05787,1.72055,4.36876,2.41868,0.00983029,0.00983029,0.00983029
8,116.37,1.66696,4.16365,2.20595,0.22624,0.28764,0.1945,0.10938,1.60514,3.67724,2.27827,0.009802,0.009802,0.009802
9,130.113,1.60232,3.98005,2.15311,0.20628,0.33187,0.19929,0.12118,1.50185,3.81549,2.19847,0.00977371,0.00977371,0.00977371
10,144.574,1.53406,3.86563,2.08171,0.20201,0.35154,0.21287,0.13765,1.42163,3.44615,2.12235,0.00974543,0.00974543,0.00974543
11,160.199,1.50093,3.79189,2.05598,0.22188,0.38737,0.24687,0.15927,1.40108,3.37306,2.10507,0.00971714,0.00971714,0.00971714
12,176.801,1.447,3.64556,1.99408,0.34092,0.36704,0.23627,0.1556,1.34251,3.37397,2.02919,0.00968886,0.00968886,0.00968886
13,192.735,1.37612,3.53794,1.95127,0.26312,0.39589,0.26192,0.18046,1.31212,3.22054,1.98853,0.00966057,0.00966057,0.00966057
14,208.586,1.36387,3.49585,1.93248,0.24605,0.45022,0.30439,0.20813,1.25543,3.06058,1.91774,0.00963229,0.00963229,0.00963229
15,224.776,1.32912,3.36337,1.8724,0.29016,0.4658,0.30508,0.21923,1.2056,2.96842,1.87372,0.009604,0.009604,0.009604
16,240.499,1.27906,3.32837,1.83977,0.29647,0.45349,0.32558,0.2361,1.17091,3.03787,1.83333,0.00957571,0.00957571,0.00957571
17,256.529,1.26987,3.2978,1.82129,0.26951,0.45648,0.3049,0.21822,1.12901,2.89979,1.80849,0.00954743,0.00954743,0.00954743
18,272.449,1.25148,3.18339,1.81323,0.22177,0.46693,0.30104,0.22037,1.07995,3.03518,1.74781,0.00951914,0.00951914,0.00951914
19,288.639,1.23441,3.14256,1.79284,0.33658,0.49862,0.42197,0.30079,1.10557,2.71973,1.75206,0.00949086,0.00949086,0.00949086
20,304.191,1.19704,3.08275,1.75332,0.44902,0.46054,0.42489,0.3185,1.00333,2.66999,1.6673,0.00946257,0.00946257,0.00946257
21,320.134,1.181,3.01161,1.73745,0.42295,0.47808,0.45076,0.32405,1.01761,2.63551,1.68886,0.00943429,0.00943429,0.00943429
22,335.994,1.15869,2.94744,1.70568,0.45666,0.52142,0.51225,0.38208,1.02136,2.38716,1.69315,0.009406,0.009406,0.009406
23,351.766,1.14493,2.88314,1.68156,0.39931,0.59806,0.50062,0.37368,0.99076,2.42848,1.63971,0.00937771,0.00937771,0.00937771
