epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.0041,1.34138,4.57299,1.54119,0.1067,0.24785,0.00377,0.00143,2.60404,189.378,5.15376,0.0702542,0.00330508,0.00330508
2,47.4566,1.42487,3.8494,1.62324,0.05435,0.14631,0.03707,0.01654,1.87902,13.072,2.35914,0.0402355,0.00661964,0.00661964
3,69.0283,1.32668,3.59682,1.56329,0.45063,0.04356,0.0255,0.01459,1.96276,6.63773,2.19044,0.0101978,0.00991534,0.00991534
4,89.1606,1.2982,3.43989,1.53538,0.07965,0.06328,0.02787,0.01712,2.53002,7.73462,2.95784,0.00991514,0.00991514,0.00991514
5,109.823,1.20888,3.24961,1.46337,0.17399,0.35927,0.16258,0.11191,1.22719,4.15322,1.5607,0.00988686,0.00988686,0.00988686
6,130.612,1.16619,3.1561,1.42685,0.18276,0.42666,0.20576,0.14265,1.16431,3.47781,1.49513,0.00985857,0.00985857,0.00985857
7,152.694,1.09228,3.00344,1.38805,0.17442,0.4308,0.19386,0.14251,0.99047,3.18518,1.3735,0.00983029,0.00983029,0.00983029
8,172.688,1.05297,2.81735,1.35393,0.2021,0.4787,0.25467,0.17494,1.12361,3.54812,1.43816,0.009802,0.009802,0.009802
9,192.802,1.04748,2.75023,1.34705,0.17032,0.49484,0.23146,0.16454,0.98485,3.55468,1.35724,0.00977371,0.00977371,0.00977371
10,213.152,1.03175,2.72455,1.32381,0.21329,0.4571,0.20502,0.15,1.03037,3.9325,1.35994,0.00974543,0.00974543,0.00974543
11,233.605,0.98204,2.67921,1.32089,0.24483,0.5871,0.33312,0.2521,0.91913,2.8984,1.27902,0.00971714,0.00971714,0.00971714
12,254.565,0.98581,2.59515,1.31338,0.33826,0.56116,0.39819,0.30917,0.83379,2.48757,1.23229,0.00968886,0.00968886,0.00968886
13,275.225,0.96936,2.59948,1.30111,0.33039,0.51933,0.35112,0.27395,0.80856,2.71013,1.17461,0.00966057,0.00966057,0.00966057
14,295.633,0.91365,2.47285,1.27312,0.31793,0.54168,0.41262,0.31983,0.83156,2.52075,1.23483,0.00963229,0.00963229,0.00963229
15,315.887,0.93492,2.42204,1.29579,0.31265,0.59237,0.44544,0.34647,0.82545,2.45325,1.23761,0.009604,0.009604,0.009604
16,336.174,0.91478,2.34579,1.26459,0.33823,0.64207,0.5296,0.4118,0.7543,2.17432,1.17905,0.00957571,0.00957571,0.00957571
17,356.388,0.88507,2.31452,1.25788,0.32813,0.58211,0.42936,0.34196,0.80994,2.60253,1.17412,0.00954743,0.00954743,0.00954743
18,376.978,0.88225,2.20175,1.24449,0.48611,0.65995,0.57927,0.47442,0.73881,1.99561,1.16843,0.00951914,0.00951914,0.00951914
19,397.18,0.87078,2.13535,1.2505,0.41043,0.63326,0.55314,0.44226,0.79434,2.17134,1.21014,0.00949086,0.00949086,0.00949086
20,417.41,0.8602,2.12046,1.24614,0.47832,0.58222,0.53797,0.43692,0.74366,2.13017,1.17977,0.00946257,0.00946257,0.00946257
21,437.566,0.83137,2.08048,1.22048,0.49103,0.68536,0.59638,0.48387,0.70686,2.05352,1.14529,0.00943429,0.00943429,0.00943429
22,458.122,0.83355,2.00816,1.2167,0.45377,0.51568,0.48261,0.38451,0.80695,3.16627,1.22093,0.009406,0.009406,0.009406
23,478.636,0.82336,1.98688,1.2027,0.53983,0.7266,0.68349,0.563,0.69139,1.81196,1.11739,0.00937771,0.00937771,0.00937771
24,499.248,0.80407,1.8687,1.20907,0.58418,0.72754,0.70337,0.57208,0.68372,1.6754,1.14362,0.00934943,0.00934943,0.00934943
25,519.875,0.828,1.95631,1.23079,0.60507,0.60088,0.65982,0.5438,0.71532,1.8805,1.14867,0.00932114,0.00932114,0.00932114
26,540.166,0.80993,1.91141,1.21241,0.54102,0.708,0.68236,0.57997,0.64656,1.68351,1.10036,0.00929286,0.00929286,0.00929286
27,560.647,0.77813,1.80532,1.18525,0.61505,0.73121,0.73287,0.61039,0.66165,1.60092,1.09984,0.00926457,0.00926457,0.00926457
28,580.77,0.77237,1.87448,1.18573,0.61422,0.71339,0.71164,0.60121,0.65755,1.63375,1.1132,0.00923629,0.00923629,0.00923629
29,600.891,0.79311,1.77477,1.19689,0.62738,0.61625,0.69549,0.58165,0.65671,1.71005,1.11556,0.009208,0.009208,0.009208
30,621.381,0.79077,1.77497,1.20355,0.58719,0.68458,0.66796,0.55963,0.6361,1.68041,1.09484,0.00917971,0.00917971,0.00917971
31,641.656,0.76215,1.71597,1.1737,0.71604,0.72166,0.77711,0.66866,0.59182,1.41507,1.06456,0.00915143,0.00915143,0.00915143
32,661.8,0.7554,1.7169,1.1837,0.64733,0.64348,0.70228,0.59106,0.6468,1.71306,1.09276,0.00912314,0.00912314,0.00912314
33,681.739,0.74277,1.66133,1.16222,0.68398,0.69834,0.75346,0.63805,0.61828,1.51084,1.04949,0.00909486,0.00909486,0.00909486
34,701.774,0.76343,1.66565,1.1695,0.74716,0.73335,0.80078,0.68668,0.61751,1.42565,1.07245,0.00906657,0.00906657,0.00906657
35,722.073,0.75918,1.63078,1.18121,0.74203,0.74935,0.78987,0.67247,0.5941,1.35057,1.07152,0.00903829,0.00903829,0.00903829
36,742.274,0.74341,1.52462,1.17309,0.73151,0.71255,0.79216,0.67297,0.6722,1.45302,1.10023,0.00901,0.00901,0.00901
37,762.436,0.76152,1.54988,1.17926,0.74118,0.75747,0.80735,0.70252,0.55724,1.23854,1.0366,0.00898171,0.00898171,0.00898171
38,782.276,0.72322,1.51564,1.15103,0.7078,0.77126,0.8035,0.69077,0.57825,1.34204,1.04012,0.00895343,0.00895343,0.00895343
39,802.51,0.73694,1.54137,1.16489,0.68844,0.77761,0.80777,0.69646,0.59106,1.29345,1.04669,0.00892514,0.00892514,0.00892514
40,822.533,0.75064,1.54841,1.17497,0.76809,0.71277,0.80066,0.67781,0.60202,1.28922,1.05078,0.00889686,0.00889686,0.00889686
41,842.751,0.70525,1.48899,1.14075,0.76458,0.75916,0.80569,0.70821,0.54889,1.30982,1.01745,0.00886857,0.00886857,0.00886857
42,863.074,0.71595,1.49568,1.15185,0.81553,0.79464,0.86635,0.75038,0.55965,1.12729,1.03284,0.00884029,0.00884029,0.00884029
43,883.662,0.69944,1.46657,1.12978,0.76577,0.80389,0.8466,0.72698,0.58463,1.23107,1.02673,0.008812,0.008812,0.008812
44,903.549,0.71439,1.45462,1.14807,0.73097,0.80118,0.83189,0.7297,0.52107,1.20209,1.00096,0.00878371,0.00878371,0.00878371
45,923.468,0.6693,1.41396,1.11172,0.81341,0.75662,0.84823,0.74243,0.54996,1.16744,1.01221,0.00875543,0.00875543,0.00875543
46,943.655,0.6931,1.40618,1.12268,0.75996,0.73632,0.81753,0.70864,0.58154,1.29873,1.02611,0.00872714,0.00872714,0.00872714
47,964.067,0.6815,1.38208,1.12025,0.7997,0.7976,0.8543,0.74632,0.53902,1.16385,0.99412,0.00869886,0.00869886,0.00869886
48,984.183,0.68336,1.41375,1.12928,0.83379,0.76925,0.85824,0.75674,0.5199,1.12766,0.98187,0.00867057,0.00867057,0.00867057
49,1004.38,0.66866,1.30194,1.10855,0.79186,0.75189,0.83166,0.72581,0.57465,1.24019,1.03573,0.00864229,0.00864229,0.00864229
50,1024.34,0.66938,1.37977,1.1149,0.80081,0.79919,0.85836,0.75661,0.52504,1.19614,0.97523,0.008614,0.008614,0.008614
51,1044.87,0.67295,1.31135,1.1188,0.81651,0.84195,0.8934,0.79539,0.49846,0.99556,0.98404,0.00858571,0.00858571,0.00858571
52,1066,0.64987,1.26639,1.10096,0.76248,0.83299,0.87104,0.76913,0.53341,1.09834,0.99785,0.00855743,0.00855743,0.00855743
53,1086.03,0.67875,1.33175,1.12579,0.83172,0.82848,0.88353,0.77809,0.51653,1.01306,0.99544,0.00852914,0.00852914,0.00852914
54,1106.9,0.67062,1.29413,1.10197,0.8163,0.807,0.85633,0.75348,0.51094,1.09557,0.99268,0.00850086,0.00850086,0.00850086
55,1128.22,0.66127,1.2934,1.10468,0.79378,0.80033,0.85538,0.76031,0.52223,1.08418,0.99639,0.00847257,0.00847257,0.00847257
56,1148.48,0.64632,1.31157,1.09816,0.75642,0.85212,0.86315,0.76042,0.52442,1.05016,0.99885,0.00844429,0.00844429,0.00844429
57,1168.9,0.65448,1.25264,1.10666,0.85728,0.82266,0.88851,0.79242,0.51877,0.95015,0.99342,0.008416,0.008416,0.008416
58,1189.78,0.65541,1.27035,1.0973,0.83232,0.86594,0.89973,0.80613,0.48823,0.90995,0.97304,0.00838771,0.00838771,0.00838771
59,1210.17,0.66464,1.28748,1.10981,0.80918,0.81537,0.88292,0.78916,0.51072,1.05007,0.98823,0.00835943,0.00835943,0.00835943
