epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.404,1.24388,3.6577,1.42612,0.61577,0.6496,0.65979,0.44744,1.02417,1.79951,1.27218,0.0700765,0.00332483,0.00332483
2,241.617,1.11439,2.05337,1.26849,0.64659,0.65365,0.70366,0.48129,1.07366,1.75252,1.26246,0.0400577,0.00663933,0.00663933
3,363.651,1.1564,2.03005,1.31087,0.74535,0.70164,0.78261,0.53506,1.0711,1.54226,1.27093,0.01002,0.00993497,0.00993497
4,485.288,1.21474,2.08095,1.35635,0.62702,0.62706,0.64519,0.43205,1.09641,1.87359,1.31203,0.00991514,0.00991514,0.00991514
5,609,1.19828,1.99961,1.35876,0.77055,0.77887,0.82096,0.56724,1.03075,1.3047,1.27385,0.00988686,0.00988686,0.00988686
6,733.154,1.16111,1.84183,1.33577,0.79696,0.76494,0.84334,0.58373,1.01823,1.26596,1.25452,0.00985857,0.00985857,0.00985857
7,856.694,1.14548,1.7761,1.31378,0.80097,0.80137,0.856,0.60442,0.98668,1.19461,1.22586,0.00983029,0.00983029,0.00983029
8,978.403,1.10564,1.69229,1.30168,0.85403,0.81538,0.88216,0.63217,0.95686,1.09242,1.18445,0.009802,0.009802,0.009802
9,1102.76,1.09618,1.62466,1.29708,0.85266,0.7949,0.87419,0.62609,0.98356,1.12754,1.21593,0.00977371,0.00977371,0.00977371
10,1225.7,1.07113,1.57812,1.28301,0.81627,0.71713,0.8266,0.59644,0.9304,1.39521,1.20866,0.00974543,0.00974543,0.00974543
11,1339.88,1.0469,1.51482,1.27042,0.85173,0.8657,0.91516,0.68317,0.88404,0.94179,1.14166,0.00971714,0.00971714,0.00971714
12,1453.98,1.04193,1.4541,1.26323,0.90383,0.87947,0.93702,0.69844,0.90319,0.86122,1.14988,0.00968886,0.00968886,0.00968886
13,1568.1,1.02924,1.43573,1.26447,0.81042,0.7459,0.83517,0.61759,0.94177,1.27779,1.18176,0.00966057,0.00966057,0.00966057
14,1681.84,1.01548,1.39837,1.24846,0.91497,0.89484,0.94821,0.71888,0.87363,0.82124,1.13601,0.00963229,0.00963229,0.00963229
15,1795.75,1.0148,1.36418,1.25276,0.93764,0.89684,0.95447,0.73186,0.84755,0.75387,1.12096,0.009604,0.009604,0.009604
16,1909.31,1.00079,1.33942,1.23494,0.90433,0.88737,0.93393,0.71559,0.85132,0.83702,1.10846,0.00957571,0.00957571,0.00957571
17,2024.77,0.98304,1.31415,1.23026,0.91045,0.90724,0.95377,0.74624,0.80154,0.75045,1.09066,0.00954743,0.00954743,0.00954743
18,2140.99,0.9825,1.27665,1.22803,0.93019,0.91865,0.95936,0.7489,0.82265,0.71379,1.09481,0.00951914,0.00951914,0.00951914
19,2257.06,0.96987,1.27301,1.22234,0.94649,0.93427,0.97215,0.76174,0.81272,0.66986,1.0876,0.00949086,0.00949086,0.00949086
20,2371.42,0.95389,1.23262,1.21601,0.93661,0.9259,0.96434,0.7561,0.80412,0.68883,1.0882,0.00946257,0.00946257,0.00946257
21,2485.34,0.95519,1.219,1.21655,0.9407,0.92703,0.96326,0.75989,0.80764,0.67122,1.09279,0.00943429,0.00943429,0.00943429
22,2598.8,0.94587,1.21113,1.20771,0.93653,0.92537,0.96434,0.76771,0.78529,0.66417,1.07882,0.009406,0.009406,0.009406
23,2712.47,0.94751,1.20893,1.2111,0.95095,0.93829,0.97474,0.77463,0.7957,0.64596,1.07566,0.00937771,0.00937771,0.00937771
24,2826.13,0.94062,1.20456,1.20494,0.94026,0.93872,0.9709,0.77697,0.76919,0.6233,1.06963,0.00934943,0.00934943,0.00934943
25,2940.11,0.93529,1.17512,1.201,0.94394,0.93023,0.96999,0.77198,0.78343,0.63646,1.0805,0.00932114,0.00932114,0.00932114
26,3053.66,0.92302,1.14496,1.19269,0.93702,0.92312,0.96838,0.77553,0.77047,0.67973,1.05629,0.00929286,0.00929286,0.00929286
27,3167.14,0.9088,1.13877,1.18749,0.93661,0.92005,0.9619,0.77,0.78364,0.66833,1.07135,0.00926457,0.00926457,0.00926457
28,3280.94,0.92362,1.1224,1.19818,0.9482,0.93095,0.97181,0.77864,0.7684,0.60553,1.06358,0.00923629,0.00923629,0.00923629
29,3394.56,0.91417,1.10393,1.184,0.95623,0.93458,0.97217,0.7684,0.8055,0.63381,1.0737,0.009208,0.009208,0.009208
30,3508.04,0.90682,1.0836,1.18493,0.961,0.94485,0.97999,0.79979,0.73697,0.56206,1.05474,0.00917971,0.00917971,0.00917971
31,3622.12,0.89737,1.07616,1.17652,0.95354,0.9363,0.97408,0.78309,0.77274,0.60202,1.05815,0.00915143,0.00915143,0.00915143
32,3735.98,0.89089,1.08182,1.17817,0.96042,0.94667,0.97781,0.79522,0.75162,0.58085,1.05445,0.00912314,0.00912314,0.00912314
33,3849.57,0.88474,1.06103,1.17521,0.96584,0.9491,0.97872,0.80211,0.72264,0.54459,1.04262,0.00909486,0.00909486,0.00909486
34,3963.27,0.88061,1.03046,1.16852,0.96292,0.95049,0.97714,0.80407,0.72244,0.54087,1.04238,0.00906657,0.00906657,0.00906657
35,4076.16,0.88074,1.0384,1.1653,0.96202,0.95601,0.98115,0.80851,0.72901,0.54975,1.02991,0.00903829,0.00903829,0.00903829
36,4188.83,0.88304,1.04442,1.16585,0.96581,0.95676,0.98166,0.80196,0.73904,0.53312,1.03894,0.00901,0.00901,0.00901
37,4301.86,0.87711,1.01585,1.15645,0.96869,0.95924,0.98247,0.80798,0.72786,0.5216,1.03024,0.00898171,0.00898171,0.00898171
38,4414.63,0.87402,1.01867,1.16364,0.96727,0.94782,0.98197,0.8114,0.71253,0.5195,1.02171,0.00895343,0.00895343,0.00895343
39,4527.91,0.87078,1.02275,1.15886,0.95682,0.96097,0.98143,0.80559,0.73994,0.54241,1.03081,0.00892514,0.00892514,0.00892514
40,4640.55,0.85933,0.99026,1.15026,0.96938,0.94968,0.98225,0.8076,0.73332,0.52558,1.02722,0.00889686,0.00889686,0.00889686
41,4753.28,0.86001,0.99786,1.15035,0.97496,0.95969,0.98405,0.81438,0.71143,0.4926,1.02168,0.00886857,0.00886857,0.00886857
42,4865.9,0.85659,1.00031,1.14967,0.96431,0.96615,0.98375,0.81716,0.70491,0.50026,1.01664,0.00884029,0.00884029,0.00884029
43,4979.03,0.85187,0.98476,1.14636,0.96751,0.95789,0.98229,0.81828,0.69709,0.50262,1.01025,0.008812,0.008812,0.008812
44,5092.19,0.84752,0.9708,1.15103,0.96906,0.96571,0.98551,0.82787,0.69256,0.48799,1.01392,0.00878371,0.00878371,0.00878371
45,5204.94,0.84762,0.96397,1.14836,0.96927,0.95738,0.98224,0.81756,0.70685,0.49729,1.01442,0.00875543,0.00875543,0.00875543
46,5317.61,0.83577,0.95768,1.14397,0.97081,0.96333,0.98462,0.82569,0.69573,0.48612,1.01155,0.00872714,0.00872714,0.00872714
47,5430.39,0.83881,0.94598,1.14449,0.97275,0.96526,0.98393,0.82639,0.68404,0.46987,1.00731,0.00869886,0.00869886,0.00869886
48,5542.93,0.83908,0.94738,1.13711,0.97393,0.96177,0.98318,0.82694,0.68488,0.47815,1.00535,0.00867057,0.00867057,0.00867057
49,5655.69,0.81646,0.91557,1.12936,0.97803,0.97191,0.98752,0.83371,0.67324,0.45458,1.00308,0.00864229,0.00864229,0.00864229
50,5768.37,0.82987,0.95093,1.13433,0.97495,0.96459,0.98606,0.8356,0.66737,0.46324,0.99772,0.008614,0.008614,0.008614
51,5881.24,0.81534,0.92038,1.12943,0.97237,0.96888,0.98632,0.83717,0.66305,0.46009,0.99666,0.00858571,0.00858571,0.00858571
52,5994.01,0.82397,0.91428,1.13076,0.97686,0.97258,0.98752,0.83794,0.67187,0.45398,0.98866,0.00855743,0.00855743,0.00855743
53,6106.74,0.81344,0.91298,1.12377,0.9733,0.973,0.98699,0.84012,0.65727,0.43965,0.98619,0.00852914,0.00852914,0.00852914
54,6219.53,0.81377,0.8944,1.11828,0.96975,0.97054,0.98752,0.84258,0.65362,0.44191,0.97912,0.00850086,0.00850086,0.00850086
55,6332.31,0.80335,0.90515,1.11775,0.97146,0.97462,0.98808,0.84271,0.65329,0.44129,0.98303,0.00847257,0.00847257,0.00847257
56,6445.31,0.80211,0.89682,1.12209,0.9766,0.97203,0.98787,0.84238,0.64933,0.43895,0.98072,0.00844429,0.00844429,0.00844429
57,6557.98,0.79943,0.87912,1.11442,0.9744,0.97152,0.98794,0.84832,0.63993,0.43401,0.97333,0.008416,0.008416,0.008416
58,6671.14,0.79456,0.88634,1.11792,0.97669,0.97135,0.98696,0.84363,0.64551,0.43251,0.98818,0.00838771,0.00838771,0.00838771
59,6784.18,0.79402,0.89028,1.11715,0.97458,0.97538,0.98908,0.85052,0.63319,0.42348,0.96806,0.00835943,0.00835943,0.00835943
60,6896.85,0.78847,0.88281,1.10748,0.97929,0.97652,0.98889,0.85004,0.63279,0.42089,0.96693,0.00833114,0.00833114,0.00833114
61,7009.69,0.78876,0.87691,1.11598,0.97714,0.97671,0.98873,0.8553,0.63198,0.42145,0.96747,0.00830286,0.00830286,0.00830286
62,7122.87,0.79117,0.87987,1.11421,0.98153,0.9714,0.98783,0.85121,0.62669,0.42262,0.96698,0.00827457,0.00827457,0.00827457
63,7235.58,0.79134,0.8861,1.11822,0.97857,0.97485,0.98813,0.85379,0.62381,0.42078,0.96398,0.00824629,0.00824629,0.00824629
64,7348.27,0.77828,0.85985,1.10799,0.9791,0.97944,0.98932,0.85583,0.62819,0.40973,0.96764,0.008218,0.008218,0.008218
65,7461.07,0.77452,0.84376,1.10252,0.98129,0.97384,0.98819,0.85351,0.62954,0.41718,0.9615,0.00818971,0.00818971,0.00818971
66,7573.75,0.78174,0.85613,1.10628,0.98077,0.97533,0.98895,0.85538,0.62318,0.40715,0.96333,0.00816143,0.00816143,0.00816143
67,7686.43,0.78352,0.84301,1.1112,0.98124,0.97657,0.98801,0.85747,0.62192,0.41087,0.96252,0.00813314,0.00813314,0.00813314
68,7799.26,0.76665,0.84516,1.10266,0.98148,0.96966,0.98975,0.85638,0.61491,0.41017,0.95686,0.00810486,0.00810486,0.00810486
69,7912.05,0.77519,0.8573,1.10173,0.97713,0.97518,0.98992,0.86096,0.60445,0.40448,0.95338,0.00807657,0.00807657,0.00807657
70,8024.92,0.77322,0.84757,1.10316,0.98404,0.97046,0.98956,0.85895,0.60336,0.39562,0.95069,0.00804829,0.00804829,0.00804829
71,8137.74,0.77349,0.83311,1.10566,0.98306,0.9739,0.98887,0.86372,0.60023,0.39628,0.94922,0.00802,0.00802,0.00802
72,8250.54,0.76079,0.81644,1.09204,0.98017,0.9797,0.98976,0.86703,0.59832,0.39281,0.94812,0.00799171,0.00799171,0.00799171
73,8363.12,0.75835,0.82206,1.09372,0.98447,0.97322,0.98954,0.86662,0.59441,0.39704,0.94869,0.00796343,0.00796343,0.00796343
74,8475.86,0.76189,0.8207,1.09743,0.98508,0.97638,0.98943,0.86608,0.59353,0.39135,0.94843,0.00793514,0.00793514,0.00793514
75,8588.52,0.76088,0.83756,1.09759,0.98381,0.97638,0.98928,0.86713,0.59812,0.39015,0.94556,0.00790686,0.00790686,0.00790686
76,8701.28,0.75082,0.81335,1.09395,0.98304,0.97825,0.99008,0.87073,0.58828,0.38364,0.94506,0.00787857,0.00787857,0.00787857
77,8814.09,0.74774,0.81506,1.09029,0.98521,0.97797,0.98976,0.86759,0.59418,0.38657,0.94447,0.00785029,0.00785029,0.00785029
78,8926.91,0.7468,0.80219,1.08529,0.98721,0.97624,0.99096,0.86839,0.59186,0.3839,0.94219,0.007822,0.007822,0.007822
79,9039.75,0.74789,0.80393,1.09033,0.98456,0.97524,0.98985,0.86574,0.5922,0.3851,0.94131,0.00779371,0.00779371,0.00779371
80,9152.72,0.74575,0.811,1.08959,0.98076,0.9792,0.99027,0.86907,0.58989,0.37769,0.94225,0.00776543,0.00776543,0.00776543
81,9265.54,0.74461,0.78639,1.08635,0.98232,0.98095,0.99002,0.86893,0.58497,0.37501,0.93936,0.00773714,0.00773714,0.00773714
82,9379.68,0.73981,0.78012,1.08075,0.98255,0.98027,0.98997,0.87123,0.58024,0.37393,0.93576,0.00770886,0.00770886,0.00770886
