epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8338,0.90825,4.32499,1.19644,0.27957,0.40553,0.28729,0.24821,0.56627,2.9648,0.92168,0.070219,0.003309,0.003309
2,48.7589,0.76971,2.61617,1.06899,0.55308,0.56691,0.61207,0.52155,0.59476,2.10099,0.90618,0.0402002,0.00662355,0.00662355
3,71.6358,0.82657,2.10503,1.06619,0.63503,0.63859,0.67822,0.54238,0.72477,1.88826,0.98442,0.0101625,0.00991924,0.00991924
4,94.603,0.85759,2.03888,1.09047,0.52597,0.64946,0.63958,0.50967,0.72597,2.23179,0.98471,0.00991514,0.00991514,0.00991514
5,117.669,0.87278,1.81129,1.10466,0.63142,0.63549,0.67791,0.54712,0.73664,2.06698,0.98136,0.00988686,0.00988686,0.00988686
6,140.358,0.85473,1.72488,1.08564,0.82587,0.78733,0.85955,0.70005,0.69412,1.26308,0.96137,0.00985857,0.00985857,0.00985857
7,161.751,0.84056,1.59918,1.08701,0.79346,0.77543,0.82386,0.68058,0.6458,1.45351,0.92554,0.00983029,0.00983029,0.00983029
8,183.026,0.83333,1.45543,1.07327,0.85917,0.80167,0.88985,0.75124,0.62855,1.0947,0.92255,0.009802,0.009802,0.009802
9,204.061,0.82287,1.40991,1.07118,0.90309,0.85203,0.93375,0.777,0.65471,0.97087,0.92912,0.00977371,0.00977371,0.00977371
10,225.037,0.81826,1.38152,1.07072,0.87856,0.84327,0.90626,0.76088,0.64061,1.05333,0.92669,0.00974543,0.00974543,0.00974543
11,248.843,0.79476,1.30672,1.05153,0.93137,0.92025,0.96009,0.81718,0.61972,0.80821,0.91714,0.00971714,0.00971714,0.00971714
12,272.237,0.78998,1.22404,1.05517,0.93501,0.90751,0.96539,0.81963,0.61213,0.77249,0.91818,0.00968886,0.00968886,0.00968886
13,295.667,0.81125,1.25683,1.06799,0.94864,0.88492,0.95364,0.8001,0.62818,0.83225,0.91451,0.00966057,0.00966057,0.00966057
14,318.975,0.79049,1.18421,1.05578,0.88001,0.88293,0.94268,0.81006,0.61039,0.86318,0.9105,0.00963229,0.00963229,0.00963229
15,342.401,0.77681,1.17807,1.06224,0.90736,0.92411,0.95164,0.81181,0.58885,0.79838,0.91399,0.009604,0.009604,0.009604
16,366.665,0.77036,1.15049,1.04928,0.92998,0.95851,0.96725,0.82248,0.59953,0.72141,0.91299,0.00957571,0.00957571,0.00957571
17,390.784,0.76126,1.11053,1.04468,0.9079,0.91665,0.9481,0.80565,0.59809,0.79619,0.90353,0.00954743,0.00954743,0.00954743
18,414.906,0.75551,1.06243,1.04156,0.92265,0.91657,0.95926,0.82883,0.57968,0.73325,0.90131,0.00951914,0.00951914,0.00951914
19,438.677,0.74694,1.04737,1.03558,0.95294,0.94965,0.97271,0.84113,0.58318,0.67003,0.90469,0.00949086,0.00949086,0.00949086
20,462.634,0.75674,1.03969,1.04378,0.91797,0.88196,0.93825,0.79488,0.62354,0.89741,0.91547,0.00946257,0.00946257,0.00946257
21,486.53,0.72621,1.01218,1.02762,0.97177,0.93355,0.97045,0.83985,0.56977,0.67162,0.89683,0.00943429,0.00943429,0.00943429
22,510.593,0.73014,0.99945,1.03666,0.94159,0.95563,0.96737,0.828,0.59341,0.70055,0.90371,0.009406,0.009406,0.009406
23,534.412,0.72681,0.98799,1.02905,0.96877,0.97372,0.97949,0.83687,0.58532,0.59963,0.89441,0.00937771,0.00937771,0.00937771
24,558.517,0.72286,0.96853,1.02293,0.95184,0.96616,0.97717,0.84114,0.59387,0.62839,0.90051,0.00934943,0.00934943,0.00934943
25,582.556,0.72812,0.95593,1.03038,0.93815,0.96799,0.9662,0.84481,0.55666,0.63916,0.87929,0.00932114,0.00932114,0.00932114
26,606.147,0.72539,0.97944,1.0313,0.97151,0.96284,0.97609,0.85859,0.54366,0.61169,0.88545,0.00929286,0.00929286,0.00929286
27,629.926,0.70692,0.95162,1.02628,0.9302,0.95053,0.9668,0.84091,0.56376,0.65002,0.88745,0.00926457,0.00926457,0.00926457
28,653.964,0.7045,0.93273,1.02534,0.96525,0.96068,0.972,0.85079,0.56123,0.60387,0.89808,0.00923629,0.00923629,0.00923629
29,677.292,0.69454,0.90298,1.02366,0.96193,0.97936,0.97497,0.8508,0.55836,0.56476,0.88499,0.009208,0.009208,0.009208
30,700.722,0.71423,0.90126,1.01669,0.9498,0.95444,0.97172,0.84835,0.54729,0.6219,0.88336,0.00917971,0.00917971,0.00917971
31,724.056,0.69566,0.8681,1.01459,0.9608,0.96629,0.97508,0.8555,0.54403,0.59056,0.87833,0.00915143,0.00915143,0.00915143
32,746.338,0.69262,0.8518,1.01236,0.97624,0.97551,0.97721,0.8626,0.53621,0.55323,0.87824,0.00912314,0.00912314,0.00912314
33,773.966,0.68798,0.88481,1.02105,0.95755,0.97312,0.97595,0.84488,0.57691,0.59192,0.9048,0.00909486,0.00909486,0.00909486
34,806.756,0.68895,0.86864,1.01158,0.92897,0.92299,0.96497,0.85119,0.55207,0.6481,0.87952,0.00906657,0.00906657,0.00906657
35,829.552,0.68513,0.82551,1.01304,0.9561,0.9587,0.97002,0.85824,0.53669,0.58911,0.8766,0.00903829,0.00903829,0.00903829
36,853.27,0.67238,0.82171,1.00332,0.96923,0.98406,0.98039,0.86695,0.53637,0.55412,0.87664,0.00901,0.00901,0.00901
37,876.435,0.68352,0.84018,1.01061,0.95094,0.93337,0.96271,0.85156,0.52744,0.67304,0.88043,0.00898171,0.00898171,0.00898171
38,899.44,0.67322,0.82437,1.00139,0.97133,0.964,0.97632,0.86081,0.538,0.53589,0.87148,0.00895343,0.00895343,0.00895343
39,922.677,0.66562,0.80896,0.99793,0.97592,0.97799,0.97762,0.86234,0.52436,0.50214,0.86819,0.00892514,0.00892514,0.00892514
40,945.877,0.6624,0.81109,1.00505,0.97747,0.96884,0.9768,0.86615,0.5298,0.5115,0.87194,0.00889686,0.00889686,0.00889686
41,968.581,0.66542,0.7973,1.00014,0.97609,0.97737,0.97849,0.87158,0.50943,0.52421,0.86135,0.00886857,0.00886857,0.00886857
42,991.407,0.67075,0.77034,1.00133,0.96279,0.96887,0.97027,0.86138,0.5252,0.55478,0.86935,0.00884029,0.00884029,0.00884029
43,1014.24,0.66637,0.78684,0.99705,0.96688,0.98424,0.97623,0.86668,0.51085,0.51596,0.87295,0.008812,0.008812,0.008812
