epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.5019,0.81372,4.67107,1.22982,0.22817,0.46395,0.29539,0.27276,0.39602,3.03136,0.91402,0.0702857,0.00330159,0.00330159
2,34.7561,0.67144,2.47065,1.07518,0.68831,0.60776,0.69717,0.63306,0.42433,1.75853,0.90144,0.0402669,0.00661615,0.00661615
3,50.8207,0.71143,1.94578,1.07284,0.70651,0.59899,0.68696,0.59029,0.56101,2.33816,0.96962,0.0102293,0.00991186,0.00991186
4,66.823,0.76876,1.86263,1.10534,0.59114,0.6627,0.65785,0.56341,0.58767,2.44277,0.97461,0.00991514,0.00991514,0.00991514
5,83.4222,0.77891,1.77723,1.11266,0.69514,0.65522,0.71043,0.59401,0.65039,1.81722,1.01884,0.00988686,0.00988686,0.00988686
6,99.2545,0.7905,1.72411,1.12234,0.765,0.72571,0.80727,0.68982,0.5879,1.39035,0.97415,0.00985857,0.00985857,0.00985857
7,115.435,0.7698,1.58113,1.11583,0.736,0.7618,0.79841,0.67762,0.60475,1.45945,0.98539,0.00983029,0.00983029,0.00983029
8,131.577,0.77325,1.55715,1.12004,0.71274,0.76147,0.82365,0.71257,0.5516,1.3275,0.96763,0.009802,0.009802,0.009802
9,148.148,0.76489,1.50952,1.11275,0.83363,0.77979,0.8578,0.73311,0.56507,1.24389,0.97747,0.00977371,0.00977371,0.00977371
10,164.515,0.75582,1.52264,1.10662,0.78029,0.75437,0.81158,0.68458,0.59817,1.37788,0.98107,0.00974543,0.00974543,0.00974543
11,180.533,0.74373,1.42656,1.09111,0.83411,0.79175,0.86516,0.75659,0.51813,1.0993,0.9341,0.00971714,0.00971714,0.00971714
12,196.772,0.72691,1.40579,1.08756,0.81464,0.83101,0.86428,0.7467,0.55047,1.09359,0.95891,0.00968886,0.00968886,0.00968886
13,212.699,0.71235,1.40875,1.08638,0.83499,0.80969,0.88268,0.76059,0.54447,1.0521,0.94969,0.00966057,0.00966057,0.00966057
14,228.999,0.70666,1.39764,1.08727,0.83944,0.77699,0.85897,0.77095,0.49336,1.11941,0.93361,0.00963229,0.00963229,0.00963229
15,244.91,0.70107,1.32473,1.07737,0.88923,0.82245,0.89473,0.79564,0.4875,1.00003,0.92408,0.009604,0.009604,0.009604
16,260.922,0.67817,1.30352,1.06187,0.83277,0.8239,0.88457,0.79222,0.4829,1.04918,0.92919,0.00957571,0.00957571,0.00957571
17,277.238,0.68338,1.29826,1.06119,0.84311,0.81728,0.87661,0.77904,0.48659,1.02986,0.91869,0.00954743,0.00954743,0.00954743
18,293.291,0.68648,1.21423,1.07213,0.88979,0.8119,0.88331,0.7826,0.50588,0.94858,0.93872,0.00951914,0.00951914,0.00951914
19,309.288,0.67223,1.18864,1.07036,0.89044,0.83418,0.90824,0.82865,0.44669,0.85564,0.91365,0.00949086,0.00949086,0.00949086
20,325.346,0.65249,1.19889,1.06231,0.88087,0.85693,0.89965,0.80466,0.47822,0.90798,0.92095,0.00946257,0.00946257,0.00946257
21,341.199,0.6517,1.14068,1.04973,0.88432,0.85907,0.91761,0.82149,0.46738,0.82557,0.92011,0.00943429,0.00943429,0.00943429
22,357.301,0.64949,1.13456,1.05236,0.90645,0.84953,0.91504,0.82235,0.46185,0.83847,0.91125,0.009406,0.009406,0.009406
23,373.218,0.64829,1.12264,1.04903,0.88978,0.83809,0.91167,0.82246,0.44585,0.86448,0.89749,0.00937771,0.00937771,0.00937771
24,389.197,0.63036,1.11688,1.04565,0.87832,0.82867,0.90881,0.83041,0.43791,0.82939,0.90363,0.00934943,0.00934943,0.00934943
25,405.309,0.62755,1.12756,1.03922,0.89217,0.82889,0.90423,0.81253,0.44222,0.81535,0.90533,0.00932114,0.00932114,0.00932114
26,421.577,0.62181,1.08482,1.03537,0.90191,0.8489,0.92021,0.83668,0.43132,0.80051,0.90071,0.00929286,0.00929286,0.00929286
27,437.422,0.6305,1.06956,1.0538,0.91867,0.87843,0.94023,0.85954,0.42599,0.73367,0.8918,0.00926457,0.00926457,0.00926457
