epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.9888,0.86411,5.09283,1.2178,0.16236,0.54027,0.25134,0.19847,0.63445,3.13291,1.03295,0.000207562,0.000207562,0.000207562
2,181.234,0.86916,3.79106,1.18352,0.44766,0.64267,0.56728,0.45931,0.69492,2.1751,1.08194,0.000411778,0.000411778,0.000411778
3,253.389,0.84706,3.10807,1.15958,0.65303,0.72373,0.72174,0.59275,0.67582,1.89283,1.0542,0.000611869,0.000611869,0.000611869
4,280.732,0.80356,2.56807,1.11699,0.77749,0.75984,0.85023,0.70465,0.6539,1.64765,1.04506,0.000606437,0.000606437,0.000606437
5,308.066,0.8017,2.20138,1.1141,0.82712,0.84475,0.91152,0.77007,0.6268,1.2517,1.01359,0.00060025,0.00060025,0.00060025
6,335.266,0.78176,2.01117,1.10083,0.92304,0.87235,0.94889,0.81146,0.5984,1.03195,1.00002,0.000594062,0.000594062,0.000594062
7,362.688,0.76499,1.74042,1.09019,0.9063,0.87501,0.95485,0.82272,0.58929,1.00288,0.97981,0.000587875,0.000587875,0.000587875
8,426.72,0.76182,1.61678,1.08767,0.89994,0.88316,0.94086,0.8001,0.62107,0.98501,1.00391,0.000581687,0.000581687,0.000581687
9,508.504,0.7469,1.50909,1.075,0.91523,0.91217,0.95978,0.82646,0.58204,0.88592,0.98113,0.0005755,0.0005755,0.0005755
10,590.281,0.71807,1.36668,1.05881,0.90946,0.87061,0.93674,0.80597,0.57783,0.97544,0.98151,0.000569313,0.000569313,0.000569313
11,672.694,0.71255,1.35967,1.05589,0.94905,0.97026,0.97729,0.85404,0.56038,0.70728,0.96115,0.000563125,0.000563125,0.000563125
12,754.918,0.70556,1.23665,1.06026,0.95005,0.94118,0.97467,0.85104,0.55121,0.69974,0.95578,0.000556938,0.000556938,0.000556938
13,836.757,0.69718,1.20562,1.04805,0.9217,0.92596,0.96532,0.84302,0.5416,0.75829,0.94577,0.00055075,0.00055075,0.00055075
14,918.231,0.7,1.13357,1.0463,0.96307,0.96784,0.97468,0.83962,0.57495,0.65714,0.9737,0.000544563,0.000544563,0.000544563
15,1000.66,0.70478,1.09558,1.04696,0.97216,0.95923,0.98169,0.86736,0.52183,0.62778,0.93945,0.000538375,0.000538375,0.000538375
16,1082.37,0.68174,1.0834,1.03998,0.97257,0.96252,0.98293,0.86859,0.51734,0.61986,0.93701,0.000532187,0.000532187,0.000532187
17,1165.3,0.68829,1.04284,1.04804,0.97725,0.96575,0.97603,0.86211,0.53898,0.60454,0.94747,0.000526,0.000526,0.000526
18,1246.84,0.66151,0.98081,1.0248,0.97594,0.97675,0.98181,0.8643,0.52887,0.5897,0.92887,0.000519812,0.000519812,0.000519812
19,1328.89,0.665,0.94967,1.0318,0.97247,0.96418,0.98016,0.86521,0.53464,0.58595,0.93886,0.000513625,0.000513625,0.000513625
20,1411.55,0.67165,0.95925,1.02987,0.97607,0.96759,0.97586,0.85771,0.53558,0.56197,0.94499,0.000507438,0.000507438,0.000507438
21,1493.11,0.6771,0.94316,1.03581,0.97579,0.95982,0.9774,0.86122,0.52354,0.58082,0.93587,0.00050125,0.00050125,0.00050125
22,1575.72,0.65436,0.89753,1.02286,0.96901,0.98203,0.98067,0.87268,0.5074,0.54101,0.92111,0.000495063,0.000495063,0.000495063
23,1621.38,0.65343,0.86284,1.02171,0.9769,0.97783,0.97795,0.86285,0.52498,0.56887,0.93015,0.000488875,0.000488875,0.000488875
24,1649.04,0.65623,0.86717,1.02086,0.98303,0.9792,0.97851,0.87051,0.52189,0.54196,0.9262,0.000482687,0.000482687,0.000482687
25,1676.33,0.63074,0.81077,1.01664,0.98029,0.9793,0.97802,0.87326,0.50769,0.52887,0.91743,0.0004765,0.0004765,0.0004765
26,1703.42,0.6423,0.82424,1.01718,0.97781,0.98134,0.97907,0.8589,0.52992,0.53373,0.93386,0.000470312,0.000470312,0.000470312
27,1730.61,0.62989,0.80894,1.014,0.98338,0.97812,0.98051,0.87294,0.50654,0.5256,0.92532,0.000464125,0.000464125,0.000464125
28,1758.1,0.62199,0.76063,1.00799,0.97793,0.98373,0.98152,0.88017,0.49203,0.49604,0.91312,0.000457938,0.000457938,0.000457938
29,1785.64,0.64271,0.80401,1.01381,0.98272,0.98412,0.98049,0.8715,0.50612,0.50127,0.91957,0.00045175,0.00045175,0.00045175
